time,,company,likes,comments,shares,url,text,object1 ,object2,object3,obj4,obj5,max_fine_recog,semantic_seg_perc,obj_sem_seg,similarity,total_engage
2024-01-01T20:50:33.000Z,,Walmart,233,88,4,https://www.facebook.com/walmart/posts/359464440029690:359464440029690,,0.48,0.13,0.01,0.01,0.01,0.48,0.3,obj4,0.180265516042709,325
2023-12-29T17:00:20.000Z,,Berkshire Hathways,50,7,9,https://www.facebook.com/BHHSRealEstate/posts/pfbid0G5cp2NgHDHT71T6mS236doX7XyWUDnzjtViJwZn69qVcFeNH6hmFN9a2TpWDAsJ4l,"Special thanks to filmmaker Erik Conover for an exclusive tour of this unparalleled $30 million oceanfront masterpiece, represented by our network’s own Paul Grover at Berkshire Hathaway HomeServices Robert Paul Properties.

Conover ventured through this exceptional residence, where commanding views of Nantucket Sound unfold along an extraordinary 280 feet of private sandy beach. Nestled within 3.66 acres of magnificent landscaping, boasting specimen trees and lush plantings that ensure absolute privacy, the home harmoniously integrates amenities such as a 5,000-bottle wine cellar, golf simulator, gym, massage room, 7 garage spaces, and a separate staff house. 

Watch the video here: https://www.youtube.com/watch?v=DMGLIZxOO2E",0.66,0.07,0.05,0.04,0.04,0.66,0.94,obj1,0.21603187918663,66
2023-12-28T17:00:25.000Z,,Berkshire Hathways,570,56,44,https://www.facebook.com/BHHSRealEstate/posts/pfbid02QAnPeaUpDdSZrRTr1XDqXgxr1J8ansVB1xKBnqXQGW3QPTrqbiQWdC8KQuGkYtDdl,"We're thrilled to share that the cover property of Prestige magazine's Fall 2023 issue has just sold for a record-breaking $10,650,000—making it the highest-priced home sale on Wrightsville Beach to date! 

Congratulations to Peter Sweyer of Berkshire Hathaway HomeServices Carolina Premier Properties on this milestone transaction.  

#RecordSale #BHHS #BHHSRealEstate",0.93,0.02,0.01,0.01,0.01,0.93,0.56,obj1,0.165844962000846,670
2023-12-19T06:38:10.000Z,,Microsoft,14,3,1,https://www.facebook.com/MicrosoftIndia/posts/pfbid0n5LNfdxzJVZsND8fEw7sPBfCvfnb8gYtBZD9SJqdB6rWCrwaAHCzbkiTXztFHXQul,"Prevent bad actors from intercepting sensitive data. Learn about the different types of email encryption, and how they work, and get advice for choosing the best solution: http://msft.it/6180iZgWn #EmailSecurity",0.07,0.06,0.05,0.05,0.05,0.07,0.93,obj4,0.156704738736152,18
2023-12-21T18:55:23.000Z,,Walmart,1228,1721,56,https://www.facebook.com/walmart/posts/pfbid0UX4SqCTU2LoQqVPJSzddyLNdkPKvLFzSYkoebaSwABUz3VUXLnXbfhVxQEfop8Kvl,The best tasting at a great value? Literally. Try our Great Value cocoa here: https://walmrt.us/48t7tOU,0.34,0.19,0.08,0.05,0.03,0.34,0.3,obj1,0.234806671738624,3005
2023-12-20T18:34:52.000Z,,Walmart,1461,1153,128,https://www.facebook.com/walmart/posts/pfbid02hhRLBDJpQnhoqqbXR5so4Jcwg587HELrYmdS1WNPnTowtBRNzCWibdVq2bkYS1H9l,"You know who this would be a great gift for? You. You earned it. You deserve it. Just say it's from Santa, we won't tell.",0.24,0.22,0.03,0.03,0.02,0.24,0.85,obj1,0.215380072593688,2742
2023-12-27T17:00:19.000Z,,Berkshire Hathways,537,69,33,https://www.facebook.com/BHHSRealEstate/posts/pfbid0tr47ERzYiYAvXZ8CFT1wb1wsyKiE4zjtGmbNiMKFzGmaQAxuaBUBkmp8rRAky3SRl,"We are excited to announce the return of the award-winning Bob Kelley Team to Berkshire Hathaway HomeServices Fox & Roach, Realtors. The team, which briefly departed Berkshire Hathaway HomeServices Fox & Roach, REALTORS® for Compass in 2019, officially returned to the brokerage on December 19, 2023. 

Led by industry veteran Bob Kelley, the team closed more than $73 million in sales in the last 12 months.

We’re looking forward to seeing the team thrive with the support of the #BHHS global network!",0.72,0.02,0.01,0.01,0.01,0.72,0.13,obj1,0.197266355156898,639
2023-12-25T17:00:35.000Z,,Berkshire Hathways,762,79,143,https://www.facebook.com/BHHSRealEstate/posts/pfbid02rRAwwmV7gwUSPZRSymAnNXa5QFcLX7zVxQxMzKwCFCSTF2wtax5tAaCJvdpKzSiyl,"Wishing you a very Merry Christmas from all of us at Berkshire Hathaway HomeServices.  May your day be filled with laughter, gratitude, and delicious food! #MerryChristmas #HappyHolidays",0.79,0.03,0.02,0.01,0.01,0.79,0.13,obj2,0.155028909444808,984
2023-12-22T17:00:40.000Z,,Berkshire Hathways,426,14,23,https://www.facebook.com/BHHSRealEstate/posts/pfbid02USFgX4MDk3u8nfXpQrMK2eNLtgGZJYa4LvQhND2t1H1FJcFidQqSN2g758rmkQVSl,"The season of giving back is in full swing in San Miguel de Allende, Mexico, as illustrated by this generous donation of 4 full university scholarships by Berkshire Hathaway HomeServices Colonial Homes San Miguel led by Greg Gunter and Alma Cecilia Ramirez—we applaud their philanthropic spirit!",0.54,0.24,0.03,0.02,0.01,0.54,0.92,obj1,0.172347217798233,463
2023-12-21T17:02:19.000Z,,Berkshire Hathways,183,13,6,https://www.facebook.com/BHHSRealEstate/posts/750599217106467,"Berkshire Hathaway HomeServices is pleased to announce the 2024 National REthink Council.

The national Berkshire Hathaway HomeServices REthink Council connects forward thinking next-gen future leaders in real estate within an environment where they can collaborate on best practices, develop resources that brokerages can use or implement on a local level, and provide feedback to Berkshire Hathaway HomeServices leadership.

Find out more at REthink Council.

#BHHS #BHHSRealEstate #BHHSREthinkCouncil #REthinkCouncil",0.53,0.08,0.05,0.04,0.03,0.53,0.22,obj5,0.142198130488395,202
2023-11-28T06:05:46.000Z,,Microsoft,34,4,3,https://www.facebook.com/MicrosoftIndia/posts/pfbid0jeEdX2VGgqz7th1bMfZrT19Uf3ykXcWt65cVRogvAzyJtqcPHp3nmadURJ3JtAX3l,"What does the term “cybersecurity” really mean?

Learn about types of threats, best practices, and how you can defend your people and data: http://msft.it/6185izMpf #InfoSec #CybersecurityTips",0.25,0.07,0.04,0.03,0.03,0.3,0.3,obj1,0.140041723847389,41
2023-11-28T04:54:14.000Z,,Microsoft,23,4,2,https://www.facebook.com/MicrosoftIndia/posts/pfbid0EJCK5DJcD6g4bHpswSeVhTkg9Xnhq32dCczdxRka6WhEaMHodxks9QTtSX3CuasBl,"A lock on your fridge may be good enough to keep your roommate's pilfering hands at bay, but it won't protect your data. Learn how to safeguard your data with these strategies: http://msft.it/6188izziY #DataProtection #DataSecurity",0.37,0.22,0.13,0.02,0.02,0.37,0.18,obj4,0.161159604787826,29
2023-11-24T05:15:06.000Z,,Microsoft,23,5,1,https://www.facebook.com/MicrosoftIndia/posts/pfbid02BLjaboUHEa2u4NdAWEj7whcMPk2Fq88fmhiDCmjzMXtjaw1yotj2wtLQbz49Npetl,"Engaged employees drive action and outcomes, with 70% reporting continuous improvement. Learn how you can empower your workforce with next-generation AI and insights: http://msft.it/6189iyWPH",0.31,0.23,0.05,0.04,0.04,0.31,0.19,obj3,0.202037841081619,29
2023-12-14T20:08:40.000Z,,Walmart,2848,1135,184,https://www.facebook.com/walmart/posts/pfbid0srPf7RVYY7pSesFHu6mnbExwGxRsWZYirg8YkquVWTWLDn9X2hqyprSy3FGGeJJUl,"Deals are here!Shop this deal & many others in-store & online now!

https://walmrt.us/47Y5gLt",0.45,0.06,0.04,0.04,0.01,0.45,0.57,obj2,0.241388022899627,4167
